ATR_MIN,DIST_MIN,EXPANSION_MIN,CROSS_MAX,total_return,sharpe_ratio,max_drawdown,total_trades,total_pnl
,,,,-99.99974391606163,-162.94514506539142,99.99974430087103,5067,-9999.97
,,,1.0,-46.27696949079858,-91.15734800260745,46.276969490798905,1321,-4627.7
,,,2.0,-72.04308288319787,-117.52130213219962,72.04308288319795,2003,-7204.31
,,,3.0,-100.01276211370622,3.0604115487562416,100.01339297833493,2857,-10001.279999999999
,,,4.0,-100.00432490657761,-14.230319548229994,100.00487910596418,2902,-10000.43
,,,5.0,-100.04751265916131,-8.292106618194017,100.05462515578414,2896,-10004.75
,,0.001,,-100.00848514432799,-11.562518542461524,100.00976677527879,2785,-10000.84
,,0.001,1.0,-45.80580708959868,-90.41259781522236,45.80580708959895,1307,-4580.58
,,0.001,2.0,-71.47921645399795,-116.75726338146251,71.47921645399798,1987,-7147.92
,,0.001,3.0,-100.0058634676718,-14.733112004635347,100.00614693393086,2848,-10000.59
,,0.001,4.0,-100.02036408950947,-2.045488212212056,100.02297357152172,2893,-10002.04
,,0.001,5.0,-100.00740900139711,-16.215269055236824,100.00851810575708,2888,-10000.74
,,0.002,,-100.01719740069713,-9.904425630312797,100.01977179784782,2774,-10001.720000000001
,,0.002,1.0,-37.83996223599895,-78.26937979704928,37.839962235999174,1074,-3784.0
,,0.002,2.0,-60.115819384398364,-103.97416533469013,60.11581938439845,1661,-6011.58
,,0.002,3.0,-95.88962255184859,-99.68014244779071,95.88962255184852,2699,-9588.97
,,0.002,4.0,-100.00517023405315,-15.509647573055108,100.00547403453044,2878,-10000.52
,,0.002,5.0,-100.00379450209378,-16.560263574169706,100.00428073473158,2892,-10000.380000000001
,,0.003,,-100.0072013005707,-14.984938349025617,100.00730167623027,2909,-10000.720000000001
,,0.003,1.0,-27.09334468799927,-61.08205185762649,27.0933446879991,759,-2709.34
,,0.003,2.0,-44.38537555399883,-83.3722125250292,44.385375553999175,1221,-4438.54
,,0.003,3.0,-69.85308024879818,-99.54073668010076,69.85308024879818,1957,-6985.3099999999995
,,0.003,4.0,-84.26748614719753,-104.3043033806181,84.26748614719769,2388,-8426.75
,,0.003,5.0,-95.37842378493659,-89.14455189462981,95.3784237849368,2698,-9537.84
,,0.004,,-67.45679191959799,-89.62584091714878,67.4675267594728,1922,-6745.68
,,0.004,1.0,-17.509835542399525,-44.70756205998671,17.689095260196424,496,-1750.98
,,0.004,2.0,-30.095353443999244,-63.29736284357977,30.170519027438402,824,-3009.53
,,0.004,3.0,-46.49453644599865,-75.2478253291443,46.5121859838764,1302,-4649.46
,,0.004,4.0,-55.41751558319835,-81.46070466535511,55.432221749543395,1586,-5541.75
,,0.004,5.0,-62.11784138879815,-85.52421506677585,62.130337357413,1796,-6211.78
,,0.005,,-43.576142819998786,-68.89777187631995,43.608593236749975,1242,-4357.61
,,0.005,1.0,-11.613996082799677,-33.30759810533809,11.866362208682201,332,-1161.3899999999999
,,0.005,2.0,-19.353156114799496,-45.25450890160346,19.57427094903688,552,-1935.31
,,0.005,3.0,-29.98727342479914,-55.28000524781676,30.053170085370144,866,-2998.73
,,0.005,4.0,-36.70919849519901,-62.43847364694617,36.70919849519901,1054,-3670.92
,,0.005,5.0,-40.22092682039881,-64.86449446702838,40.22092682039886,1169,-4022.09
,0.0002,,,-100.01018271023977,-1.998322780175037,100.01148753652205,2953,-10001.02
,0.0002,,1.0,-32.95812927999905,-73.2689745939387,32.95812927999902,916,-3295.8199999999997
,0.0002,,2.0,-58.63195213399831,-101.86300380441908,58.631952133998446,1623,-5863.1900000000005
,0.0002,,3.0,-87.88624996719714,-110.64031948797191,87.88624996719744,2485,-8788.619999999999
,0.0002,,4.0,-100.02657681089326,-5.303460151622148,100.02732871196316,2894,-10002.66
,0.0002,,5.0,-100.0345116923242,-7.616926985099008,100.0377216248455,2949,-10003.45
,0.0002,0.001,,-100.02865468185314,-6.929035699699979,100.03232653159753,2952,-10002.869999999999
,0.0002,0.001,1.0,-32.95812927999905,-73.2689745939387,32.95812927999902,916,-3295.8199999999997
,0.0002,0.001,2.0,-58.37072182919834,-101.71012486582283,58.370721829198445,1612,-5837.08
,0.0002,0.001,3.0,-87.5380828531972,-111.23369024779066,87.53808285319745,2472,-8753.810000000001
,0.0002,0.001,4.0,-100.02505047732946,-5.907007443161297,100.0257591959481,2902,-10002.5
,0.0002,0.001,5.0,-100.0018798908974,-12.94035464044062,100.00205473955101,2942,-10000.189999999999
,0.0002,0.002,,-100.00507823166838,-14.981715037353917,100.0054071497255,2937,-10000.51
,0.0002,0.002,1.0,-29.12964208999914,-66.85997731986261,29.129642089999198,803,-2912.9700000000003
,0.0002,0.002,2.0,-50.69848014759854,-91.84407680956261,50.69848014759889,1389,-5069.84
,0.0002,0.002,3.0,-76.10115070559786,-106.21043650919734,76.1011507055977,2141,-7610.12
,0.0002,0.002,4.0,-94.67891124062186,-98.88328951106217,94.67891124062163,2683,-9467.89
,0.0002,0.002,5.0,-100.00520597933482,-15.71519706931901,100.00527854311744,2942,-10000.52
,0.0002,0.003,,-86.61840828319754,-99.37897422834916,86.6184082831976,2486,-8661.84
,0.0002,0.003,1.0,-21.88434107799939,-53.98216398785209,21.88434107799937,597,-2188.4300000000003
,0.0002,0.003,2.0,-39.00983113039904,-76.26091876680331,39.00983113039943,1055,-3900.98
,0.0002,0.003,3.0,-57.7077951247983,-88.09901347611604,57.707795124798444,1617,-5770.780000000001
,0.0002,0.003,4.0,-70.65997592999801,-96.32441757190698,70.65997592999797,2014,-7065.99
,0.0002,0.003,5.0,-79.41885194919776,-99.49512806344217,79.41885194919776,2289,-7941.89
,0.0002,0.004,,-58.90339121199841,-82.93407496709959,58.91694751270613,1674,-5890.34
,0.0002,0.004,1.0,-14.693207204799604,-40.69213556344181,14.878476409281758,400,-1469.3200000000002
,0.0002,0.004,2.0,-26.79274646999934,-58.67831755614717,26.871463210512015,722,-2679.2799999999997
,0.0002,0.004,3.0,-39.77891719239885,-67.89233823768782,39.798781972767905,1110,-3977.8900000000003
,0.0002,0.004,4.0,-48.97460517639865,-76.08101043629595,48.9914366283448,1378,-4897.46
,0.0002,0.004,5.0,-54.38569256359843,-80.00992513170645,54.4007390914366,1552,-5438.57
,0.0002,0.005,,-38.63932135799889,-63.32401533997284,38.674611033210674,1095,-3863.9300000000003
,0.0002,0.005,1.0,-9.979383705999744,-30.75172643717687,10.23641709564083,272,-997.94
,0.0002,0.005,2.0,-18.035306663199588,-44.387816331847056,18.260034733231603,486,-1803.53
,0.0002,0.005,3.0,-26.624649662799282,-52.09546478535955,26.724491974772697,739,-2662.4700000000003
,0.0002,0.005,4.0,-33.21982841519916,-59.30740509357006,33.21982841519922,920,-3321.98
,0.0002,0.005,5.0,-35.88026440079906,-60.990735612479696,35.88026440079892,1021,-3588.02
