short_window,long_window,ma_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl
50,200,sma,2.0,2.5,10.667286924051336,5.666248412009513,62.857142857142854,3.937040172969733,35,12,23,41.67,73.91,53.34
50,200,sma,2.0,3.0,10.275236156490406,5.112823659416779,64.70588235294117,4.095990375654833,34,12,22,41.67,77.27,51.37
50,200,sma,2.5,2.5,9.237282093805971,4.355282586624091,57.14285714285714,4.241169378334941,35,12,23,33.33,69.57,46.19
50,200,sma,3.0,2.5,9.106260465416927,3.8958625488469583,51.42857142857142,5.587684516367244,35,12,23,25.0,65.22,45.53
50,200,sma,3.0,3.0,8.99861011230721,3.6797873121947604,52.94117647058824,4.558098149027358,34,12,22,25.0,68.18,45.0
50,200,sma,2.5,3.0,8.606145700176512,3.867278033200472,58.82352941176471,4.710290802907295,34,12,22,33.33,72.73,43.03
50,200,sma,2.0,2.0,8.567100654831416,4.759169829479328,57.14285714285714,3.9370401729697204,35,12,23,33.33,69.57,42.84
50,200,sma,1.5,3.0,7.98573532068449,4.398497981117448,67.64705882352942,4.095990375654804,34,12,22,50.0,77.27,39.93
50,200,sma,2.5,2.0,6.96316671414188,3.5110139408695065,51.42857142857142,3.9370401729696836,35,12,23,33.33,60.87,34.81
50,200,sma,3.0,2.0,6.078248070440338,2.7949705350095857,45.714285714285715,5.665556452614489,35,12,23,25.0,56.52,30.39
50,200,sma,1.5,2.5,5.9133902183482405,3.4830554051595577,62.857142857142854,3.9370401729697115,35,12,23,41.67,73.91,29.570000000000004
9,50,sma,3.0,1.5,4.497000443363845,1.627830830883453,39.795918367346935,12.763465927459485,98,46,52,36.96,42.31,22.48
50,200,sma,1.5,2.0,3.903420930714435,2.436872049439341,57.14285714285714,3.9370401729697093,35,12,23,33.33,69.57,19.52
50,200,sma,2.0,1.5,3.6482433206669045,2.338315132576445,50.0,4.222986184210323,34,11,23,36.36,56.52,18.240000000000002
50,200,sma,3.0,1.5,3.490375393204704,1.8510480309194717,41.17647058823529,4.2229861842102885,34,11,23,27.27,47.83,17.45
9,200,ema,3.0,2.5,3.3732742682920502,1.4304941747056845,42.30769230769231,13.476578313903238,78,34,44,44.12,40.91,16.87
9,200,ema,3.0,1.5,3.1738899484904097,1.490027539224654,38.46153846153847,8.862666854748555,78,31,47,38.71,38.3,15.87
50,200,sma,2.5,1.5,2.2261294557031532,1.320949915861386,44.11764705882353,4.2229861842103,34,11,23,36.36,47.83,11.129999999999999
9,200,ema,2.5,1.5,1.9827161347280935,1.0249654830547985,43.58974358974359,9.012109887697143,78,31,47,41.94,44.68,9.91
9,200,sma,3.0,3.0,1.8064924983384911,0.8205586968682108,43.75,13.862542889849234,64,27,37,40.74,45.95,9.04
9,200,ema,2.5,2.5,1.3607548036327557,0.6923025396583147,47.43589743589743,14.410077563025366,78,34,44,47.06,47.73,6.8100000000000005
20,200,ema,3.0,2.0,1.3233860307404257,0.6604010844646598,41.509433962264154,5.909214700024585,53,21,32,47.62,37.5,6.609999999999999
9,200,sma,3.0,2.5,1.1406680501590472,0.5918948286659065,41.269841269841265,12.017375934702342,63,27,36,40.74,41.67,5.7
9,200,ema,3.0,3.0,0.7704204281649822,0.44694619830306204,40.74074074074074,15.090075092473896,81,34,47,41.18,40.43,3.8500000000000005
20,200,ema,3.0,2.5,0.7661961246047895,0.44396882178991603,46.2962962962963,6.557529197493564,54,22,32,50.0,43.75,3.829999999999999
12,26,ema,3.0,1.5,0.608301777909196,0.3803495198623651,34.78260869565217,16.563356362161503,115,56,59,28.57,40.68,3.0400000000000063
9,200,ema,3.0,2.0,0.508991117372284,0.3531290340319885,40.50632911392405,13.31214854754241,79,33,46,39.39,41.3,2.54
9,200,sma,3.0,2.0,0.49861006580264305,0.35056665709886253,38.095238095238095,12.45624846461922,63,26,37,38.46,37.84,2.5
9,200,sma,3.0,1.5,0.45832161071582506,0.3386929475351382,34.375,11.767327149928276,64,26,38,34.62,34.21,2.29
9,50,sma,3.0,2.5,0.29154209619352967,0.28137489129177684,41.23711340206185,15.770826827168241,97,49,48,36.73,45.83,1.4600000000000009
9,50,sma,2.5,1.5,0.024091938028675486,0.18292721873248813,41.83673469387755,13.606279585655162,98,46,52,39.13,44.23,0.12
50,200,sma,1.5,1.5,-0.35665459526262566,-0.1577887211879781,50.0,5.220960273602708,34,11,23,36.36,56.52,-1.7800000000000002
9,200,ema,2.5,2.0,-0.42542773880247753,-0.04391360525287065,45.56962025316456,13.160686462844978,79,33,46,42.42,47.83,-2.12
9,50,sma,3.0,3.0,-0.5528665070386068,0.02217516243785395,40.5940594059406,16.244390224295728,101,49,52,36.73,44.23,-2.77
9,200,sma,2.5,1.5,-0.6817832985288532,-0.23716234448001422,40.625,11.221696512159616,64,26,38,38.46,42.11,-3.4099999999999997
12,26,ema,2.5,1.5,-0.7789579355878686,-0.06891488208067749,38.26086956521739,14.636982128910578,115,56,59,28.57,47.46,-3.8900000000000006
9,50,sma,2.0,1.5,-0.8330207106038073,-0.1381028023593187,44.44444444444444,14.033878467703909,99,46,53,43.48,45.28,-4.16
9,50,sma,1.5,1.5,-0.935062540415015,-0.26058498445862116,52.0,10.353728372857194,100,47,53,53.19,50.94,-4.67
9,200,ema,2.5,3.0,-1.4113596112933235,-0.4085117524495224,45.67901234567901,15.789543445741472,81,34,47,44.12,46.81,-7.06
9,200,sma,2.5,2.5,-1.7681126930494542,-0.6176048917841512,46.03174603174603,11.764625905211425,63,27,36,44.44,47.22,-8.84
20,200,ema,3.0,3.0,-2.2600951311445328,-0.6636313901863504,45.45454545454545,9.069513118409892,55,22,33,50.0,42.42,-11.3
20,200,ema,3.0,1.5,-2.3525109932737793,-0.8602247688056217,35.18518518518518,7.161193249213042,54,21,33,38.1,33.33,-11.76
9,200,sma,2.5,2.0,-2.475276961855695,-1.0556450196514104,42.857142857142854,11.51027667479099,63,26,37,42.31,43.24,-12.370000000000001
20,200,ema,2.0,2.0,-2.674063627287319,-1.1247026801841427,49.056603773584904,6.543296840859007,53,21,32,47.62,50.0,-13.37
9,200,ema,2.0,1.5,-2.7595865427028117,-1.2507870485750612,43.58974358974359,10.39757255943205,78,31,47,41.94,44.68,-13.79
