short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
20,200,SMA,SMA,3.0,1.5,111.57638837742479,2.952396327466394,44.0,16.446228658257773,325,123,202,48.78,41.09,557.89,SMA20/SMA200,SMA/SMA
20,200,SMA,SMA,3.0,3.0,101.87675288264049,2.459957666520588,52.17391304347826,21.80115684943041,322,120,202,56.67,49.5,509.39,SMA20/SMA200,SMA/SMA
20,200,SMA,SMA,2.0,1.5,91.95424413532653,3.0149217278848486,52.61538461538462,15.995743265630349,325,123,202,53.66,51.98,459.78000000000003,SMA20/SMA200,SMA/SMA
20,200,SMA,SMA,3.0,2.5,80.4755800612228,2.1451575400551453,50.0,27.803686370214432,326,123,203,54.47,47.29,402.38,SMA20/SMA200,SMA/SMA
20,200,SMA,SMA,2.0,3.0,77.97899688929,2.361584150056612,60.371517027863774,16.86934416805376,323,121,202,61.98,59.41,389.89,SMA20/SMA200,SMA/SMA
20,200,SMA,SMA,2.5,1.5,76.77678671627359,2.45726775409364,46.76923076923077,16.127673240547384,325,123,202,51.22,44.06,383.89,SMA20/SMA200,SMA/SMA
20,200,SMA,SMA,1.5,1.5,75.82096418934692,2.8949649350684736,58.15384615384615,18.22103161846527,325,123,202,57.72,58.42,379.1,SMA20/SMA200,SMA/SMA
20,200,SMA,SMA,3.0,2.0,71.37085861036216,2.053460041978915,46.76923076923077,28.491447360101258,325,122,203,53.28,42.86,356.86,SMA20/SMA200,SMA/SMA
20,200,SMA,SMA,2.0,2.0,70.24424225112126,2.3568187187091834,55.69230769230769,21.87332639791106,325,122,203,58.2,54.19,351.22,SMA20/SMA200,SMA/SMA
20,200,SMA,SMA,1.5,3.0,69.81693205640617,2.389654489608444,66.0493827160494,16.928419977053526,324,121,203,66.12,66.01,349.08000000000004,SMA20/SMA200,SMA/SMA
20,200,SMA,SMA,2.0,2.5,62.800570192478155,2.0851232871293695,58.282208588957054,21.95702426443357,326,123,203,59.35,57.64,314.0,SMA20/SMA200,SMA/SMA
20,200,SMA,SMA,1.5,2.0,62.16514129816248,2.362071768210874,61.53846153846154,18.803427506806347,325,122,203,63.11,60.59,310.83,SMA20/SMA200,SMA/SMA
20,200,SMA,SMA,1.5,2.5,60.679431174531004,2.215129531582667,64.41717791411043,18.32596375565845,326,123,203,64.23,64.53,303.39,SMA20/SMA200,SMA/SMA
