short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
26,200,SMA,SMA,3.0,2.5,11.754509623034505,5.223550773555689,55.88235294117647,6.08430024687132,34,9,25,66.67,52.0,58.769999999999996,SMA26/SMA200,SMA/SMA
50,200,SMA,SMA,2.0,2.5,10.667286924051336,5.666248412009513,62.857142857142854,3.937040172969733,35,12,23,41.67,73.91,53.34,SMA50/SMA200,SMA/SMA
9,200,SMA,EMA,3.0,3.0,10.327454262151605,3.756408547256775,47.368421052631575,7.885718533510124,76,33,43,48.48,46.51,51.63,SMA9/EMA200,SMA/EMA
50,200,SMA,SMA,2.0,3.0,10.275236156490406,5.112823659416779,64.70588235294117,4.095990375654833,34,12,22,41.67,77.27,51.37,SMA50/SMA200,SMA/SMA
26,200,SMA,SMA,3.0,3.0,10.133729892279257,4.184276871484313,55.88235294117647,7.102296091735269,34,9,25,66.67,52.0,50.67,SMA26/SMA200,SMA/SMA
26,200,SMA,SMA,3.0,2.0,9.935878529942489,4.638585968629487,52.94117647058824,4.992671564266738,34,9,25,66.67,48.0,49.68,SMA26/SMA200,SMA/SMA
50,200,SMA,SMA,2.5,2.5,9.237282093805971,4.355282586624091,57.14285714285714,4.241169378334941,35,12,23,33.33,69.57,46.19,SMA50/SMA200,SMA/SMA
50,200,SMA,SMA,3.0,2.5,9.106260465416927,3.8958625488469583,51.42857142857142,5.587684516367244,35,12,23,25.0,65.22,45.53,SMA50/SMA200,SMA/SMA
50,200,SMA,SMA,3.0,3.0,8.99861011230721,3.6797873121947604,52.94117647058824,4.558098149027358,34,12,22,25.0,68.18,45.0,SMA50/SMA200,SMA/SMA
50,200,SMA,SMA,2.5,3.0,8.606145700176512,3.867278033200472,58.82352941176471,4.710290802907295,34,12,22,33.33,72.73,43.03,SMA50/SMA200,SMA/SMA
50,200,SMA,SMA,2.0,2.0,8.567100654831416,4.759169829479328,57.14285714285714,3.9370401729697204,35,12,23,33.33,69.57,42.84,SMA50/SMA200,SMA/SMA
50,200,SMA,EMA,3.0,2.0,8.391929421661711,4.7370504088827765,48.275862068965516,5.613571842670604,29,12,17,50.0,47.06,41.96,SMA50/EMA200,SMA/EMA
50,200,SMA,SMA,1.5,3.0,7.98573532068449,4.398497981117448,67.64705882352942,4.095990375654804,34,12,22,50.0,77.27,39.93,SMA50/SMA200,SMA/SMA
26,200,SMA,SMA,3.0,1.5,7.716629426163626,3.9266825236716456,48.484848484848484,6.439987625354101,33,8,25,50.0,48.0,38.58,SMA26/SMA200,SMA/SMA
50,200,SMA,SMA,2.5,2.0,6.96316671414188,3.5110139408695065,51.42857142857142,3.9370401729696836,35,12,23,33.33,60.87,34.81,SMA50/SMA200,SMA/SMA
