short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,strategy_name,combo_type
50,200,EMA,EMA,2.0,2.5,-50.90999948779634,-0.29022684095752865,51.82362547632009,75.34154796743796,1837,861,976,50.17,53.28,-254.55,EMA50/EMA200,EMA/EMA
50,200,EMA,EMA,2.0,3.0,-53.74081584387257,-0.300623506540127,54.614964500273075,77.61986576682901,1831,857,974,52.86,56.16,-268.70000000000005,EMA50/EMA200,EMA/EMA
50,200,EMA,EMA,2.0,2.0,-55.381789866896355,-0.39768167224164036,48.09782608695652,75.59690659575276,1840,860,980,47.33,48.78,-276.90999999999997,EMA50/EMA200,EMA/EMA
50,200,EMA,EMA,2.5,2.5,-61.885337883795444,-0.3767876886970678,46.92433315187806,79.7598210747959,1837,861,976,45.88,47.85,-309.41999999999996,EMA50/EMA200,EMA/EMA
50,200,EMA,EMA,1.5,2.0,-64.70446589442622,-0.6413984763098225,54.39739413680782,75.81740441298449,1842,861,981,53.31,55.35,-323.52,EMA50/EMA200,EMA/EMA
50,200,EMA,EMA,2.5,3.0,-65.93068147007166,-0.4048809179650897,49.645002730748224,81.78265339114736,1831,857,974,48.54,50.62,-329.66,EMA50/EMA200,EMA/EMA
50,200,SMA,SMA,2.0,2.0,-66.41444229348015,-0.688194709023344,47.90313053750738,83.97516555733338,1693,833,860,48.86,46.98,-332.08,SMA50/SMA200,SMA/SMA
50,200,EMA,EMA,2.5,2.0,-67.74764699734908,-0.5288201381011518,43.01250679717238,80.93173063810158,1839,859,980,42.49,43.47,-338.73999999999995,EMA50/EMA200,EMA/EMA
50,200,EMA,EMA,1.5,2.5,-67.83399496651444,-0.651447490561168,57.84899511135253,78.28474518010047,1841,862,979,56.26,59.24,-339.17,EMA50/EMA200,EMA/EMA
50,200,EMA,EMA,1.5,3.0,-68.04145342341747,-0.6125212146449681,60.83877995642701,79.59025566804094,1836,859,977,59.49,62.03,-340.21,EMA50/EMA200,EMA/EMA
50,200,SMA,SMA,2.0,2.5,-71.18123123703496,-0.7492424968221666,51.03244837758112,85.99329396895908,1695,835,860,52.1,50.0,-355.9,SMA50/SMA200,SMA/SMA
50,200,SMA,SMA,2.0,1.5,-72.60587015934914,-1.003635028434423,42.27594339622642,81.27930726099586,1696,835,861,43.35,41.23,-363.03,SMA50/SMA200,SMA/SMA
50,200,SMA,SMA,2.0,3.0,-74.37356990380083,-0.7720907464200779,54.14949970570924,86.439197021259,1699,837,862,55.2,53.13,-371.86,SMA50/SMA200,SMA/SMA
50,200,EMA,EMA,3.0,2.5,-74.44809084589271,-0.5493689390393468,42.15686274509804,85.90237129609596,1836,861,975,41.0,43.18,-372.24,EMA50/EMA200,EMA/EMA
50,200,EMA,EMA,3.0,2.0,-75.94601073171792,-0.6488649539602521,38.390429581294185,85.1702314660325,1839,859,980,37.6,39.08,-379.73,EMA50/EMA200,EMA/EMA
50,200,SMA,SMA,1.5,2.0,-76.72190587185868,-1.0797319287499965,53.84160756501182,85.06020260304375,1692,833,859,54.26,53.43,-383.6,SMA50/SMA200,SMA/SMA
50,200,SMA,SMA,2.5,2.0,-78.7240188420803,-0.9172955503565055,42.730496453900706,89.21002327888131,1692,832,860,43.75,41.74,-393.62,SMA50/SMA200,SMA/SMA
50,200,EMA,EMA,3.0,3.0,-79.89485511830311,-0.6314177622381185,44.6204259967231,88.59376628041777,1831,857,974,43.52,45.59,-399.48,EMA50/EMA200,EMA/EMA
50,200,SMA,SMA,3.0,2.0,-80.72865212341483,-0.8958077233481186,38.59338061465721,90.04285575986806,1692,832,860,39.06,38.14,-403.64,SMA50/SMA200,SMA/SMA
50,200,EMA,EMA,2.0,1.5,-80.97734555322766,-1.1131773525980866,41.265548945375876,85.77271960945474,1849,863,986,40.9,41.58,-404.89,EMA50/EMA200,EMA/EMA
50,200,SMA,SMA,2.5,2.5,-81.29765571380092,-0.9400264940303706,46.04486422668241,90.5433409636948,1694,835,859,47.31,44.82,-406.49,SMA50/SMA200,SMA/SMA
50,200,SMA,SMA,1.5,2.5,-81.58847876907053,-1.191816473363902,56.72963400236127,87.79815125101617,1694,835,859,57.37,56.11,-407.94,SMA50/SMA200,SMA/SMA
50,200,SMA,SMA,2.5,1.5,-82.14218006470178,-1.244257907616708,37.0872641509434,87.34264959359346,1696,835,861,37.72,36.47,-410.71000000000004,SMA50/SMA200,SMA/SMA
50,200,SMA,SMA,3.0,3.0,-82.40669945984199,-0.8173249080897674,45.02062463170301,91.57948808469052,1697,836,861,45.81,44.25,-412.03000000000003,SMA50/SMA200,SMA/SMA
50,200,SMA,SMA,1.5,1.5,-82.58177153569045,-1.559694710222456,47.66961651917404,85.27448136983286,1695,835,860,47.9,47.44,-412.9,SMA50/SMA200,SMA/SMA
50,200,SMA,SMA,3.0,2.5,-82.76725331275576,-0.9042789046651859,41.78486997635934,91.44024090735239,1692,834,858,42.69,40.91,-413.84000000000003,SMA50/SMA200,SMA/SMA
50,200,SMA,SMA,2.5,3.0,-83.161432258532,-0.9295485327825556,49.20447849145551,91.52109395119055,1697,836,861,50.48,47.97,-415.8,SMA50/SMA200,SMA/SMA
50,200,EMA,EMA,1.5,1.5,-83.27002707329781,-1.3671275030375285,47.00162074554295,85.26614356306133,1851,864,987,46.06,47.82,-416.35,EMA50/EMA200,EMA/EMA
50,200,SMA,SMA,1.5,3.0,-83.96182131507254,-1.213465061573071,59.95288574793876,88.49463328774861,1698,837,861,60.57,59.35,-419.81,SMA50/SMA200,SMA/SMA
50,200,EMA,EMA,2.5,1.5,-85.8169116225127,-1.1874351487372965,36.52597402597403,88.31492235927102,1848,862,986,36.31,36.71,-429.09000000000003,EMA50/EMA200,EMA/EMA
50,200,SMA,SMA,3.0,1.5,-86.27891943165727,-1.3324188701035213,32.84198113207547,90.1706450300066,1696,835,861,32.69,32.98,-431.39,SMA50/SMA200,SMA/SMA
50,200,EMA,SMA,2.0,3.0,-87.86967212985859,-1.108814682175011,53.607723577235774,91.22808475524228,1968,914,1054,51.31,55.6,-439.34999999999997,EMA50/SMA200,EMA/SMA
50,200,EMA,SMA,2.0,2.0,-88.01838840010448,-1.2694361747937501,46.283095723014256,92.03636087298285,1964,910,1054,44.95,47.44,-440.09000000000003,EMA50/SMA200,EMA/SMA
50,200,EMA,EMA,3.0,1.5,-88.3347157352521,-1.2260771954066527,32.26854358419058,90.28613604302679,1847,861,986,31.82,32.66,-441.67999999999995,EMA50/EMA200,EMA/EMA
50,200,EMA,SMA,2.5,3.0,-88.44745381597306,-1.010610253807409,48.50025419420437,92.15368839001748,1967,913,1054,47.43,49.43,-442.23,EMA50/SMA200,EMA/SMA
50,200,EMA,SMA,2.0,2.5,-88.56458660709062,-1.2121270430910824,50.71138211382114,91.66446930041865,1968,911,1057,49.07,52.13,-442.82000000000005,EMA50/SMA200,EMA/SMA
50,200,SMA,EMA,2.0,2.0,-88.93371726068202,-1.5848289908756308,45.71244358478401,92.87486893586107,1551,761,790,43.23,48.1,-444.67,SMA50/EMA200,SMA/EMA
50,200,SMA,EMA,2.0,1.5,-89.45570793399841,-1.8269484441873678,39.89670755326017,93.06727463434758,1549,761,788,37.32,42.39,-447.27000000000004,SMA50/EMA200,SMA/EMA
50,200,EMA,SMA,2.0,1.5,-89.48455677579994,-1.5431045215460977,40.69000507356672,90.2197220735928,1971,912,1059,39.47,41.74,-447.41999999999996,EMA50/SMA200,EMA/SMA
20,200,SMA,SMA,1.5,3.0,-90.11234775149714,-1.245958025103713,58.37685817597429,92.28646103530721,2489,1127,1362,57.59,59.03,-450.56,SMA20/SMA200,SMA/SMA
50,200,EMA,SMA,1.5,2.0,-90.57096987685146,-1.5656011310155344,51.8047788510422,93.0984368346347,1967,912,1055,49.45,53.84,-452.84999999999997,EMA50/SMA200,EMA/SMA
50,200,SMA,EMA,2.0,2.5,-90.61031697626046,-1.5197285940417653,49.45054945054945,94.3480241828361,1547,759,788,47.43,51.4,-453.05,SMA50/EMA200,SMA/EMA
50,200,EMA,SMA,2.5,2.0,-90.78741182506175,-1.3124330275370455,41.518084564442184,94.11472157884462,1963,909,1054,41.14,41.84,-453.93999999999994,EMA50/SMA200,EMA/SMA
50,200,SMA,EMA,2.5,1.5,-90.8988606776687,-1.7984170332976763,35.571336346029696,93.85108412203095,1549,761,788,33.9,37.18,-454.5,SMA50/EMA200,SMA/EMA
50,200,SMA,EMA,2.5,2.5,-91.03299258307268,-1.423866964350216,44.79638009049774,95.113563359511,1547,759,788,43.74,45.81,-455.15999999999997,SMA50/EMA200,SMA/EMA
50,200,SMA,EMA,1.5,1.5,-91.1071471108991,-2.196457391808185,45.38411878631375,92.75048776795941,1549,761,788,43.76,46.95,-455.53,SMA50/EMA200,SMA/EMA
50,200,EMA,SMA,2.5,1.5,-91.26827125614135,-1.5227406160455776,36.19289340101523,92.34095196532893,1970,911,1059,36.0,36.36,-456.34000000000003,EMA50/SMA200,EMA/SMA
50,200,SMA,EMA,1.5,2.0,-91.51782134323612,-1.9813821788511257,51.25725338491296,93.00304049506359,1551,761,790,49.8,52.66,-457.59,SMA50/EMA200,SMA/EMA
50,200,EMA,SMA,2.5,2.5,-91.62778526681755,-1.2761915616001673,45.59796437659033,94.45163407176182,1965,909,1056,44.88,46.21,-458.13999999999993,EMA50/SMA200,EMA/SMA
50,200,SMA,EMA,2.5,2.0,-91.63111187662408,-1.6600178797313294,40.74790457769181,94.55286950554486,1551,761,790,39.29,42.15,-458.15999999999997,SMA50/EMA200,SMA/EMA
50,200,SMA,EMA,2.0,3.0,-91.67425859939951,-1.496172152927206,52.75080906148867,94.50658751823619,1545,759,786,50.2,55.22,-458.37,SMA50/EMA200,SMA/EMA
20,200,SMA,SMA,1.5,2.0,-91.9073280749523,-1.5560832770879665,52.13572854291417,92.59225793646982,2505,1134,1371,51.59,52.59,-459.54,SMA20/SMA200,SMA/SMA
50,200,SMA,EMA,2.5,3.0,-91.90988546054231,-1.3882587598711622,48.284789644012946,95.537849803485,1545,759,786,46.77,49.75,-459.55,SMA50/EMA200,SMA/EMA
50,200,SMA,EMA,1.5,2.5,-92.01060043208075,-1.7963605546930028,55.07433742727861,94.05856197133055,1547,759,788,54.02,56.09,-460.06,SMA50/EMA200,SMA/EMA
20,200,SMA,SMA,2.0,3.0,-92.08641089083784,-1.1957133296928695,52.633695215118614,94.04192497357234,2487,1126,1361,51.95,53.2,-460.44,SMA20/SMA200,SMA/SMA
50,200,EMA,SMA,1.5,2.5,-92.1941838700046,-1.5908280390879475,55.96144089294774,93.90948503614254,1971,913,1058,53.45,58.13,-460.97,EMA50/SMA200,EMA/SMA
20,200,SMA,SMA,1.5,1.5,-92.24496922599677,-1.7547698996046568,46.69059011164274,92.9141614778381,2508,1136,1372,46.04,47.23,-461.22,SMA20/SMA200,SMA/SMA
50,200,EMA,SMA,1.5,1.5,-92.29831012193071,-1.9350039375430508,45.84178498985801,92.52700985408437,1972,913,1059,43.48,47.88,-461.49,EMA50/SMA200,EMA/SMA
21,200,SMA,EMA,2.0,2.5,-92.47945240403025,-1.3123111289735092,49.36708860759494,93.51361576656636,2528,1170,1358,49.66,49.12,-462.39,SMA21/EMA200,SMA/EMA
50,200,EMA,SMA,1.5,3.0,-92.76474203132686,-1.5545901506613287,58.498224251648914,94.8056087622372,1971,916,1055,55.68,60.95,-463.83,EMA50/SMA200,EMA/SMA
20,200,SMA,SMA,1.5,2.5,-92.84775661646687,-1.5364830328745276,55.65392354124749,94.43737378181845,2485,1127,1358,55.01,56.19,-464.24,SMA20/SMA200,SMA/SMA
50,200,EMA,SMA,3.0,3.0,-92.86615343258454,-1.184651516429004,44.07727503812913,95.27607795259387,1967,913,1054,42.72,45.26,-464.33000000000004,EMA50/SMA200,EMA/SMA
20,200,SMA,SMA,2.0,2.0,-93.07835505818373,-1.440678127649199,46.50419496604075,93.55158436180044,2503,1133,1370,45.98,46.93,-465.39,SMA20/SMA200,SMA/SMA
