ATR_MIN,DIST_MIN,EXPANSION_MIN,CROSS_MAX,Total_Return_%,Sharpe_Ratio,Win_Rate_%,Max_Drawdown_%,Profit_Factor,Total_Trades,Total_Closed_Trades,Best_Trade_%,Worst_Trade_%,Long_WinRate_%,Short_WinRate_%,Long_Trades,Short_Trades,Total_PnL,Combination_ID
,,,,-99.99974391606163,-162.94514506539142,4.599289380181603,99.99974430087103,0.07169732620080196,5067,5066,4.004605958730329,-1.1317773677063894,4.6,0.0,5067,0,-9999.97,0
,,,1.0,-46.27696949079858,-91.15734800260745,4.466313398940197,46.276969490798905,0.06162581709189938,1321,1321,3.639607686902295,-1.0790691174110734,5.04,3.86,674,647,-4627.7,1
,,,2.0,-72.04308288319787,-117.52130213219962,3.8941587618572147,72.04308288319795,0.04408286282563806,2003,2003,3.639607686902295,-1.0790691174110734,3.77,4.02,1034,969,-7204.31,2
,,,3.0,-100.01276211370622,3.0604115487562416,4.131652661064425,100.01339297833493,0.05418931874746554,2857,2856,3.639607686902295,-1.0790691174110734,4.42,3.9,1448,1409,-10001.279999999999,3
,,,4.0,-100.00432490657761,-14.230319548229994,5.377456049638056,100.00487910596418,0.06321201701880519,2902,2901,4.004605958730329,-1.5182366763926998,5.51,5.31,1471,1431,-10000.43,4
,,0.001,,-100.00848514432799,-11.562518542461524,6.752873563218391,100.00976677527879,0.06976904535201076,2785,2784,2.7227258396120813,-1.5182366763926998,1.45,6.92,69,2716,-10000.84,5
,,0.001,1.0,-45.80580708959868,-90.41259781522236,4.514154552410099,45.80580708959895,0.062220264750776945,1307,1307,3.639607686902295,-1.0790691174110734,5.11,3.9,666,641,-4580.58,6
,,0.001,2.0,-71.47921645399795,-116.75726338146251,3.9758429793658783,71.47921645399798,0.044543155013341974,1987,1987,3.639607686902295,-1.0790691174110734,3.82,4.14,1020,967,-7147.92,7
,,0.001,3.0,-100.0058634676718,-14.733112004635347,4.10958904109589,100.00614693393086,0.05420779962208166,2848,2847,3.639607686902295,-1.0790691174110734,4.4,3.89,1433,1415,-10000.59,8
,,0.001,4.0,-100.02036408950947,-2.045488212212056,5.4287690179806365,100.02297357152172,0.06341491393332696,2893,2892,4.004605958730329,-1.5182366763926998,5.61,5.31,1443,1450,-10002.04,9
,,0.002,,-100.01719740069713,-9.904425630312797,5.625676163000361,100.01977179784782,0.06729200684973612,2774,2773,3.9069787578990005,-1.5182366763926998,5.85,5.43,1504,1270,-10001.720000000001,10
,,0.002,1.0,-37.83996223599895,-78.26937979704928,4.8417132216014895,37.839962235999174,0.07082331052909346,1074,1074,3.639607686902295,-1.0790691174110734,5.61,4.03,553,521,-3784.0,11
,,0.002,2.0,-60.115819384398364,-103.97416533469013,4.274533413606261,60.11581938439845,0.05120328466761015,1661,1661,3.639607686902295,-1.0790691174110734,4.17,4.39,864,797,-6011.58,12
,,0.002,3.0,-95.88962255184859,-99.68014244779071,4.742497221193035,95.88962255184852,0.05854838898245505,2699,2699,3.639607686902295,-1.0790691174110734,4.81,4.67,1351,1348,-9588.97,13
,,0.002,4.0,-100.00517023405315,-15.509647573055108,5.491831769204032,100.00547403453044,0.06957237332839324,2878,2877,4.004605958730329,-1.5182366763926998,5.81,5.23,1462,1416,-10000.52,14
,,0.003,,-100.0072013005707,-14.984938349025617,5.398899587345254,100.00730167623027,0.06439229639110258,2909,2908,4.004605958730329,-1.0775802397899725,5.19,5.67,1656,1253,-10000.720000000001,15
,,0.003,1.0,-27.09334468799927,-61.08205185762649,5.270092226613966,27.0933446879991,0.08517691521358013,759,759,3.639607686902295,-1.0790691174110734,6.92,3.52,390,369,-2709.34,16
