body_threshold,Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Profit Factor,Total Trades,Expectancy,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Total Fees Paid
0.0001,0.0,,,,,0,,,,,,0.0
0.0002,0.0,,,,,0,,,,,,0.0
0.0003,1.9107,1.0563,1.8032,100.0,,1,191.0683,38.2519,38.2519,38.2519,,1.1913
0.0004,2.0854,1.1442,1.8032,100.0,,2,104.2718,38.2519,3.433,20.8424,,2.2279
0.0005,0.7865,0.5182,1.5246,75.0,3.7294,4,19.6625,15.4039,-5.7612,7.1725,-5.7612,4.0847
0.0006,3.6661,1.7444,1.9365,83.3333,14.6665,6,61.102,49.3513,-5.3599,15.6334,-5.3599,6.4191
0.0007,0.4328,0.1928,3.1801,55.5556,1.1668,9,4.8089,49.3513,-40.0173,12.1531,-12.772,9.0491
0.0008,2.8475,1.6377,1.0896,60.0,6.6686,10,28.4749,55.7912,-5.7511,11.1616,-2.4944,10.3515
0.0009,4.2854,2.2091,1.0896,57.1429,7.1544,14,30.6103,55.7912,-5.7511,12.3577,-2.2896,14.5627
0.001,2.4841,1.0497,2.1028,35.0,1.8836,20,12.4206,58.7665,-28.5806,15.1418,-4.2574,20.408
0.0011,2.6201,1.5559,1.0751,53.3333,2.9387,30,8.7337,32.9621,-11.59,4.9209,-1.8968,30.6829
0.0012,1.1604,0.6208,1.7221,48.6486,1.3597,37,3.1362,34.7468,-11.59,4.8618,-3.3635,37.412
0.0013,0.8554,0.4659,1.1234,48.1481,1.2497,54,1.5841,26.2441,-11.59,3.2926,-2.4351,54.341
0.0014,0.6479,0.3318,2.3331,46.1538,1.1479,65,0.9968,26.2441,-12.6037,3.3732,-2.5064,64.8854
0.0015,0.4101,0.2182,2.4164,45.122,1.0838,82,0.5001,24.1643,-12.6037,2.8895,-2.1837,81.594
0.0016,-2.3428,-1.3315,3.5794,36.3636,0.5939,88,-2.6623,15.0731,-12.3337,2.1956,-2.0962,86.0812
0.0017,-2.0109,-1.0942,3.307,40.8163,0.6599,98,-2.0519,15.0731,-12.2744,1.9933,-2.0699,96.0868
0.0018,-2.3023,-1.2351,3.6549,43.2203,0.6609,118,-1.9511,15.6362,-11.3882,1.7993,-2.0604,115.5924
0.0019,-3.3398,-1.6939,4.7819,40.1515,0.5726,132,-2.5302,15.6362,-12.3467,1.7394,-2.0233,128.4022
0.002,-3.9169,-1.9322,5.4215,39.8551,0.5478,138,-2.8383,15.5821,-12.0183,1.7796,-2.1381,134.1233
0.0021,-4.9853,-2.4097,6.0446,41.1765,0.4759,153,-3.2584,15.5821,-13.0384,1.4858,-2.173,148.2736
0.0022,-4.2453,-2.0246,5.3683,42.3077,0.5504,156,-2.7214,15.5821,-13.7924,1.6201,-2.1481,151.7611
0.0023,-4.1155,-1.9546,5.4025,43.8272,0.5659,162,-2.5405,14.9534,-20.4394,1.5541,-2.1317,157.6129
0.0024,-3.0367,-1.4661,5.01,40.1198,0.6631,167,-1.8184,14.9534,-12.4157,1.8364,-1.8437,162.6995
0.0025,-3.4821,-1.6733,5.3338,39.5349,0.632,172,-2.0245,8.1254,-12.6296,1.8106,-1.8624,167.4978
0.0026,-2.8667,-1.4035,4.4707,41.2088,0.6957,182,-1.5751,10.4515,-15.5318,1.7902,-1.7953,178.1385
0.0027,-3.3086,-1.6074,4.7432,40.625,0.6588,192,-1.7232,10.4515,-15.5318,1.6847,-1.7401,187.214
0.0028,-3.8778,-1.8668,5.0713,39.8964,0.6135,193,-2.0092,10.4515,-12.4157,1.6471,-1.773,187.7534
0.0029,-2.481,-1.1758,4.0074,42.7083,0.7486,192,-1.2922,15.8899,-12.4157,1.8437,-1.8281,188.2776
0.003,-3.9671,-1.8585,4.9298,40.8163,0.62,196,-2.024,15.8899,-12.4157,1.6673,-1.8451,190.7794
0.0031,-4.092,-1.944,5.3073,42.8571,0.6226,189,-2.1651,15.8899,-17.0748,1.7183,-2.0588,183.7698
0.0032,-3.6392,-1.698,5.0908,44.7917,0.6458,192,-1.8954,10.4515,-12.1509,1.5901,-1.9867,186.7524
0.0033,-2.5515,-1.1793,4.898,45.6853,0.748,197,-1.2952,31.4639,-9.7395,1.7254,-1.9295,193.0091
0.0034,-4.5162,-2.1527,5.608,44.3299,0.5908,194,-2.328,10.4515,-15.5318,1.5621,-2.0968,188.414
0.0035,-4.2201,-1.9848,5.3689,44.7761,0.6271,201,-2.0995,10.4515,-15.5318,1.6235,-2.0903,195.2779
0.0036,-4.4125,-2.0883,5.2765,44.6701,0.6107,197,-2.2398,13.0524,-15.5318,1.6177,-2.1309,191.6053
