atr_multiplier,bb_period,bb_std,ema_fast,ema_slow,volume_mult,total_return,sharpe,max_dd,win_rate,profit_factor,trades,expectancy
3.0,20,3.0,10,50,1.0,-4.379554786039889,-2.6429561910520323,4.945533237481668,26.126126126126124,0.6743700405058956,334,-1.3024227391591259
1.5,20,2.0,10,50,0.8,-9.661013503709682,-7.003046763769221,9.663675943378438,24.072216649949848,0.5142786696110487,997,-0.9690083754974619
2.5,30,3.0,20,30,0.8,-3.26807622241989,-2.20746613089167,3.41218534240567,26.53061224489796,0.7244068588750233,344,-0.9492909936792673
2.0,20,2.0,20,100,1.2,-4.625542680929842,-3.302854267200679,5.034277655601542,25.6120527306968,0.6819712538692296,531,-0.8711003165592928
1.5,40,2.5,30,50,1.2,-5.4332890797398345,-5.0361515344299255,5.54542375127985,24.53531598513011,0.5440702611430924,538,-1.0099050334088961
3.0,20,2.0,30,50,0.8,-3.756330264799889,-2.245364173316681,4.590244843779474,26.861702127659576,0.7182164927888522,377,-1.0032755528590132
3.0,20,3.0,30,100,1.2,-2.349763441619934,-1.5332554575908246,3.5440367537903272,30.51643192488263,0.7586618094244051,214,-1.0832283459999688
1.5,30,3.0,10,100,1.2,-5.221502734479853,-5.265531269410007,5.387429413739974,22.943722943722943,0.5030275376198652,462,-1.1301953970735634
1.5,30,2.5,30,100,1.0,-4.274175291379838,-3.9349243574873554,4.324594878009684,26.61596958174905,0.6082070625374542,526,-0.8125808538744947
2.0,20,3.0,20,100,1.0,-3.6579243755898827,-2.972280666609203,4.0398724416500045,25.454545454545453,0.6750275715853085,385,-0.9501102274259421
2.5,40,2.5,10,100,0.8,-3.05028604286989,-2.0124832980325396,3.4285349441956643,28.77906976744186,0.7473897752851495,345,-0.8913580979127573
2.0,30,3.0,10,100,0.8,-3.8140480374498673,-3.093302001875766,4.216703188131735,24.42159383033419,0.6671207616755708,389,-0.98047507389457
3.0,30,2.0,30,100,1.0,-1.7155687630799197,-1.0565109492062974,2.746647123377847,28.46975088967972,0.8329165244818648,282,-0.6203847291031757
1.5,20,2.0,30,100,1.2,-6.1305425092898105,-5.136125402731396,6.1837270984712545,24.418604651162788,0.5692562220823578,688,-0.8910672251874703
